trade_date,raw_core_return,net_core_return,har_pred_future20_vol,trend60_prior_close,desired_state,live_exposure,net_return,nav,turnover,turnover_cost
2006-01-04,0.014536625146865845,0.014524529248967077,,,1.0,1.0,0.014524529248967077,1.014524529248967,0.0,0.0
2006-01-05,0.008203035593032837,0.008191015207885899,,,1.0,1.0,0.008191015207885899,1.0228345150968186,0.0,0.0
2006-01-06,0.01377471089363098,0.013762624079718622,,,1.0,1.0,0.013762624079718622,1.0369114020238575,0.0,0.0
2006-01-09,0.00725974440574646,0.007247735267067679,,,1.0,1.0,0.007247735267067679,1.0444266613611304,0.0,0.0
2006-01-10,0.00935477614402771,0.00934274202715768,,,1.0,1.0,0.00934274202715768,1.054184470224513,0.0,0.0
2006-01-11,-0.0075249791145324705,-0.0075368119811064505,,,1.0,1.0,-0.0075368119811064505,1.0462392800790283,0.0,0.0
2006-01-12,0.01998775005340576,0.019975589164013652,,,1.0,1.0,0.019975589164013652,1.0671385261051405,0.0,0.0
2006-01-13,-0.0019944250583648683,-0.002006323863433024,,,1.0,1.0,-0.002006323863433024,1.064997500614627,0.0,0.0
2006-01-16,-0.024919694662094115,-0.024931320138714907,,,1.0,1.0,-0.024931320138714907,1.0384457069798725,0.0,0.0
2006-01-17,0.002839893102645874,0.002827936660014574,,,1.0,1.0,0.002827936660014574,1.0413823656640757,0.0,0.0
2006-01-18,0.01738927364349365,0.017377143734654155,,,1.0,1.0,0.017377143734654155,1.0594786167149546,0.0,0.0
2006-01-19,0.018017518520355224,0.018005381121213526,,,1.0,1.0,0.018005381121213526,1.0785549329986834,0.0,0.0
2006-01-20,0.0022037386894226073,0.002191789831395674,,,1.0,1.0,0.002191789831395674,1.0809188987334315,0.0,0.0
2006-01-23,0.012020480632781983,0.012008414733826633,,,1.0,1.0,0.012008414733826633,1.0938990211630537,0.0,0.0
2006-01-24,-0.010671550035476684,-0.010683345386795384,,,1.0,1.0,-0.010683345386795384,1.0822125201016914,0.0,0.0
2006-01-25,0.0051163315773010256,0.005104347993641234,,,1.0,1.0,0.005104347993641234,1.0877365094073659,0.0,0.0
2006-02-06,0.020890200138092042,0.02087802848916298,,,1.0,1.0,0.02087802848916298,1.1104463032394756,0.0,0.0
2006-02-07,-0.013756442070007324,-0.013768200641442352,,,1.0,1.0,-0.013768200641442352,1.0951574557349266,0.0,0.0
2006-02-08,0.001052999496459961,0.0010410643582172696,,,1.0,1.0,0.0010410643582172696,1.0962975851287282,0.0,0.0
2006-02-09,-0.023999565839767457,-0.024011202286701283,,,1.0,1.0,-0.024011202286701283,1.06997416204578,0.0,0.0
2006-02-10,0.007663869857788086,0.007651855900889792,,,1.0,1.0,0.007651855900889792,1.0781614501514296,0.0,0.0
2006-02-13,0.0002140641212463379,0.00020213898528087526,,,1.0,1.0,0.00020213898528087526,1.0783793886129323,0.0,0.0
2006-02-14,0.010224807262420654,0.010212762772531692,,,1.0,1.0,0.010212762772531692,1.089392621487624,0.0,0.0
2006-02-15,-0.0011325359344482421,-0.001144445015461626,,,1.0,1.0,-0.001144445015461626,1.0881458715320818,0.0,0.0
2006-02-16,-0.02889946699142456,-0.028911045018876425,,,1.0,1.0,-0.028911045018876425,1.0566864372531133,0.0,0.0
2006-02-17,-0.0020858824253082277,-0.0020977801399681972,,,1.0,1.0,-0.0020977801399681972,1.05446974143087,0.0,0.0
2006-02-20,-0.0033810555934906004,-0.0033929378663399845,,,1.0,1.0,-0.0033929378663399845,1.0508919911162593,0.0,0.0
2006-02-21,0.009953516721725463,0.009941475466320737,,,1.0,1.0,0.009941475466320737,1.0613394080636946,0.0,0.0
2006-02-22,-0.0004462599754333496,-0.00045817723862928705,,,1.0,1.0,-0.00045817723862928705,1.0608531265044596,0.0,0.0
2006-02-23,-0.009400564432144164,-0.009412374936895174,,,1.0,1.0,-0.009412374936895174,1.050867979124822,0.0,0.0
2006-02-24,0.010677844285964966,0.010665794394704164,,,1.0,1.0,0.010665794394704164,1.0620763209261457,0.0,0.0
2006-02-27,0.0015092909336090088,0.0014973503551933831,,,1.0,1.0,0.0014973503551933831,1.063666621282527,0.0,0.0
2006-02-28,0.004894047975540161,0.004882067042075278,,,1.0,1.0,0.004882067042075278,1.068859513038046,0.0,0.0
2006-03-01,0.01663588285446167,0.01662376192798698,,,1.0,1.0,0.01662376192798698,1.0866279791172546,0.0,0.0
2006-03-02,-0.01747715473175049,-0.017488868942677094,,,1.0,1.0,-0.017488868942677094,1.067624084801027,0.0,0.0
2006-03-03,-0.002621394395828247,-0.002633285725801904,,,1.0,1.0,-0.002633285725801904,1.0648127255379982,0.0,0.0
2006-03-06,0.003630971908569336,0.0036190060342347063,,,1.0,1.0,0.0036190060342347063,1.0686662892170502,0.0,0.0
2006-03-07,-0.016820025444030762,-0.01683174748963634,,,1.0,1.0,-0.01683174748963634,1.0506787680862621,0.0,0.0
2006-03-08,0.0011343717575073241,0.0011224356490970866,,,1.0,1.0,0.0011224356490970866,1.0518580873913115,0.0,0.0
2006-03-09,0.00047377347946166994,0.00046184524708992036,,,1.0,1.0,0.00046184524708992036,1.0523438830495861,0.0,0.0
2006-03-10,0.003668791055679321,0.0036568247304427093,,,1.0,1.0,0.0036568247304427093,1.056192120186052,0.0,0.0
2006-03-13,0.005023181438446045,0.0050111989653767175,,,1.0,1.0,0.0050111989653767175,1.0614849090459675,0.0,0.0
2006-03-14,0.011110305786132812,0.011098250738813542,,,1.0,1.0,0.011098250738813542,1.0732655347220263,0.0,0.0
2006-03-15,0.012632113695144654,0.012620040503942942,,,1.0,1.0,0.012620040503942942,1.0868101892417044,0.0,0.0
2006-03-16,0.008965259790420533,0.008953230317591876,,,1.0,1.0,0.008953230317591876,1.0965406511774909,0.0,0.0
2006-03-17,-0.00522264838218689,-0.0052345086984919575,,,1.0,1.0,-0.0052345086984919575,1.0908007996006523,0.0,0.0
2006-03-20,0.012459158897399902,0.012447087768266307,,,1.0,1.0,0.012447087768266307,1.1043780928909768,0.0,0.0
2006-03-21,-0.0016734659671783446,-0.0016853685989081102,,,1.0,1.0,-0.0016853685989081102,1.1025168087318964,0.0,0.0
2006-03-22,0.01837098002433777,0.018358838411021594,,,1.0,1.0,0.018358838411021594,1.1227577366688404,0.0,0.0
2006-03-23,0.0061691045761108395,0.006157108440676851,,,1.0,1.0,0.006157108440676851,1.1296706778061194,0.0,0.0
2006-03-24,0.002139890193939209,0.0021279420971511698,,,1.0,1.0,0.0021279420971511698,1.1320745515973403,0.0,0.0
2006-03-27,0.008345284147262573,0.008333262066145375,,,1.0,1.0,0.008333262066145375,1.141508425514215,1.8,0.00558
2006-03-28,0.009445571899414062,0.009433536700023781,,,1.0,1.0,0.009433536700023781,1.1522768871396896,0.0,0.0
2006-03-29,0.007399529218673706,0.007387518413398908,,,1.0,1.0,0.007387518413398908,1.160789353860768,0.0,0.0
2006-03-30,-0.016205734014511107,-0.016217463384057718,,,1.0,1.0,-0.016217463384057718,1.1419642950179272,0.0,0.0
2006-03-31,0.011625468730926514,0.011613407541533727,,,1.0,1.0,0.011613407541533727,1.1552263917738506,0.0,0.0
2006-04-03,0.015029758214950562,0.015017656437631421,,,1.0,1.0,0.015017656437631421,1.172575184833195,0.0,0.0
2006-04-04,0.005567312240600586,0.005555323280086011,,,1.0,1.0,0.005555323280086011,1.1790892190551499,0.0,0.0
2006-04-05,0.011040025949478149,0.01102797174007586,,,1.0,1.0,0.01102797174007586,1.192092181641918,0.0,0.0
2006-04-06,-0.0007241606712341308,-0.0007360746211357849,,,1.0,1.0,-0.0007360746211357849,1.1912147128409571,0.0,0.0
2006-04-07,0.0011812090873718263,0.0011692724205394356,,0.19121471284095715,1.0,1.0,0.0011692724205394356,1.192607567351623,0.0,0.0
2006-04-10,0.021120727062225342,0.021108552664819813,,0.17553349669572493,1.0,1.0,0.021108552664819813,1.2177817869955274,0.0,0.0
2006-04-11,0.007814925909042359,0.007802910151165632,,0.190595124647563,1.0,1.0,0.007802910151165632,1.2272840288631794,0.0,0.0
2006-04-12,0.011284315586090088,0.011272258464124274,,0.1835958467307326,1.0,1.0,0.011272258464124274,1.2411182916454169,0.0,0.0
2006-04-13,-0.020973896980285643,-0.020985569501009826,,0.18832498016466914,1.0,1.0,-0.020985569501009826,1.2150727174771174,0.0,0.0
2006-04-14,0.02112659215927124,0.021114417691938447,,0.1526186846770179,1.0,1.0,0.021114417691938447,1.240728270360008,0.0,0.0
2006-04-17,0.016700613498687743,0.016688491800456395,,0.18589341270601767,1.0,1.0,0.016688491800456395,1.2614341539265055,0.0,0.0
2006-04-18,-0.01252407431602478,-0.012535847580467552,,0.18207160838856273,1.0,1.0,-0.012535847580467552,1.2456210076400869,0.0,0.0
2006-04-19,-0.0006701350212097168,-0.0006820496152366573,,0.16959993513714267,1.0,1.0,-0.0006820496152366573,1.2447714323110952,0.0,0.0
2006-04-20,0.0011620640754699707,0.0011501276368957036,,0.1986870608106055,1.0,1.0,0.0011501276368957036,1.2462030783370144,0.0,0.0
2006-04-21,0.02460816502571106,0.02459594904903417,,0.19668156426129468,1.0,1.0,0.02459594904903417,1.2768546257565412,0.0,0.0
2006-04-24,-0.01936662197113037,-0.019378313654725532,,0.20517262511213952,1.0,1.0,-0.019378313654725532,1.2521113363271437,0.0,0.0
2006-04-25,-0.010404711961746216,-0.010416510494464126,,0.16091568265876321,1.0,1.0,-0.010416510494464126,1.2390687054520544,0.0,0.0
2006-04-26,0.021756291389465332,0.021744109414490786,,0.14631052052465177,1.0,1.0,0.021744109414490786,1.2660111509554752,0.0,0.0
2006-04-27,0.0029957354068756103,0.0029837771062013463,,0.15733822451859125,1.0,1.0,0.0029837771062013463,1.2697886460438919,0.0,0.0
2006-04-28,0.020670211315155028,0.020658042289061207,,0.1733265162415365,1.0,1.0,0.020658042289061207,1.2960199935920365,0.0,0.0
2006-05-08,0.0306074857711792,0.030595198267098223,,0.19148339913509949,1.0,1.0,0.030595198267098223,1.335671982254108,0.0,0.0
2006-05-09,0.030500054359436035,0.03048776813621501,,0.20282446648485974,1.0,1.0,0.03048776813621501,1.37639363995511,0.0,0.0
